Model,Name,Read,Write,Create,Delete,Access_Level
account.report.horizontal.group.rule,Horizontal group rule for reports,Yes,No,No,No,READ-ONLY
account.report.line,Accounting Report Line,Yes,No,No,No,READ-ONLY
account.root,Account codes first 2 digits,Yes,No,No,No,READ-ONLY
account.tax,Tax,Yes,No,No,No,READ-ONLY
account.tax.group,Tax Group,Yes,No,No,No,READ-ONLY
account.tax.repartition.line,Tax Repartition Line,Yes,No,No,No,READ-ONLY
account.tax.report.handler,Account Report Handler for Tax Reports,Yes,No,No,No,READ-ONLY
account.tax.unit,Tax Unit,Yes,No,No,No,READ-ONLY
account.transfer.model,Account Transfer Model,Yes,No,No,No,READ-ONLY
account.transfer.model.line,Account Transfer Model Line,Yes,No,No,No,READ-ONLY
account.trial.balance.report.handler,Trial Balance Custom Handler,Yes,No,No,No,READ-ONLY
account_followup.followup.line,Follow-up Criteria,Yes,No,No,No,READ-ONLY
activity.report,Users Activity Analysis,Yes,No,No,No,READ-ONLY
analytic.mixin,Analytic Mixin,Yes,No,No,No,READ-ONLY
approval.rule,Vendor Bill Approval Rules,Yes,Yes,Yes,Yes,FULL (RWCD)
auth_totp.device,Authentication Device,Yes,No,No,No,READ-ONLY
avatar.mixin,Avatar Mixin,Yes,No,No,No,READ-ONLY
bank.rec.widget,Bank reconciliation widget for a single statement line,Yes,No,No,No,READ-ONLY
bank.rec.widget.line,Line of the bank reconciliation widget,Yes,No,No,No,READ-ONLY
barcode.nomenclature,Barcode Nomenclature,Yes,No,No,No,READ-ONLY
barcode.rule,Barcode Rule,Yes,No,No,No,READ-ONLY
barcodes.barcode_events_mixin,Barcode Event Mixin,Yes,No,No,No,READ-ONLY
base,Base,Yes,No,No,No,READ-ONLY
base.automation,Automation Rule,No,No,No,No,NO ACCESS
base.geo_provider,Geo Provider,Yes,No,No,No,READ-ONLY
base.geocoder,Geo Coder,Yes,No,No,No,READ-ONLY
base_import.mapping,Base Import Mapping,Yes,Yes,Yes,Yes,FULL (RWCD)
board.board,Board,Yes,No,No,No,READ-ONLY
board.calculator,Board Calculator,Yes,Yes,Yes,Yes,FULL (RWCD)
board.calculator.line,Board Calculator Line,Yes,Yes,Yes,Yes,FULL (RWCD)
bus.bus,Communication Bus,Yes,No,No,No,READ-ONLY
bus.presence,User Presence,Yes,Yes,Yes,Yes,FULL (RWCD)
calendar.alarm,Event Alarm,Yes,Yes,Yes,Yes,FULL (RWCD)
calendar.alarm_manager,Event Alarm Manager,Yes,Yes,Yes,Yes,FULL (RWCD)
calendar.attendee,Calendar Attendee Information,Yes,Yes,Yes,Yes,FULL (RWCD)
calendar.event,Calendar Event,Yes,Yes,Yes,Yes,FULL (RWCD)
calendar.event.type,Event Meeting Type,Yes,No,No,No,READ-ONLY
calendar.filters,Calendar Filters,Yes,Yes,Yes,Yes,FULL (RWCD)
calendar.recurrence,Event Recurrence Rule,Yes,Yes,Yes,Yes,FULL (RWCD)
chat.bot.credit.master,credit master,Yes,Yes,Yes,Yes,FULL (RWCD)
client.bearer.token,Bearer Token,Yes,Yes,Yes,Yes,FULL (RWCD)
copilot.message,Copilot Message,Yes,Yes,Yes,Yes,FULL (RWCD)
copilot.response.line,Copilot Response Line,Yes,No,No,No,READ-ONLY
copilot.session.history,Copilot Session History,Yes,Yes,Yes,Yes,FULL (RWCD)
crm.activity.report,CRM Activity Analysis,Yes,No,No,No,READ-ONLY
crm.iap.lead.helpers,Helper methods for crm_iap_mine modules,Yes,No,No,No,READ-ONLY
crm.iap.lead.industry,CRM IAP Lead Industry,Yes,No,No,No,READ-ONLY
crm.iap.lead.mining.request,CRM Lead Mining Request,Yes,No,No,No,READ-ONLY
crm.iap.lead.role,People Role,Yes,No,No,No,READ-ONLY
crm.iap.lead.seniority,People Seniority,Yes,No,No,No,READ-ONLY
crm.lead,Lead/Opportunity,Yes,No,No,No,READ-ONLY
crm.lead.scoring.frequency,Lead Scoring Frequency,Yes,No,No,No,READ-ONLY
crm.lead.scoring.frequency.field,Fields that can be used for predictive lead scoring computation,Yes,No,No,No,READ-ONLY
crm.lead.source,Opportunity source description,Yes,Yes,Yes,Yes,FULL (RWCD)
crm.lost.reason,Opp. Lost Reason,Yes,No,No,No,READ-ONLY
crm.recurring.plan,CRM Recurring revenue plans,Yes,No,No,No,READ-ONLY
crm.specification,Lead Specification,Yes,Yes,Yes,Yes,FULL (RWCD)
crm.stage,CRM Stages,Yes,Yes,No,No,RW
crm.tag,CRM Tag,Yes,No,No,No,READ-ONLY
crm.team,Sales Team,Yes,No,No,No,READ-ONLY
crm.team.member,Sales Team Member,Yes,No,No,No,READ-ONLY
crossovered.budget,Budget,Yes,No,No,No,READ-ONLY
crossovered.budget.lines,Budget Line,Yes,Yes,Yes,No,RWC
decimal.precision,Decimal Precision,Yes,No,No,No,READ-ONLY
delivery.carrier,Shipping Methods,Yes,No,No,No,READ-ONLY
delivery.price.rule,Delivery Price Rules,Yes,No,No,No,READ-ONLY
delivery.zip.prefix,Delivery Zip Prefix,Yes,No,No,No,READ-ONLY
digest.digest,Digest,Yes,No,No,No,READ-ONLY
digest.tip,Digest Tips,Yes,No,No,No,READ-ONLY
discuss.channel,Discussion Channel,Yes,Yes,Yes,No,RWC
discuss.channel.member,Channel Member,Yes,Yes,Yes,Yes,FULL (RWCD)
discuss.channel.rtc.session,Mail RTC session,Yes,No,No,No,READ-ONLY
discuss.gif.favorite,Save favorite GIF from Tenor API,Yes,Yes,Yes,Yes,FULL (RWCD)
discuss.voice.metadata,Metadata for voice attachments,Yes,No,No,No,READ-ONLY
documents.account.folder.setting,Journal and Folder settings,Yes,No,No,No,READ-ONLY
documents.document,Document,Yes,Yes,No,No,RW
documents.facet,Category,Yes,No,No,No,READ-ONLY
documents.folder,Documents Workspace,Yes,No,No,No,READ-ONLY
documents.mixin,Documents creation mixin,Yes,No,No,No,READ-ONLY
documents.share,Documents Share,Yes,No,No,No,READ-ONLY
documents.shared.spreadsheet,Copy of a shared spreadsheet,Yes,No,No,No,READ-ONLY
documents.tag,Tag,Yes,No,No,No,READ-ONLY
documents.workflow.action,Document Workflow Tag Action,Yes,No,No,No,READ-ONLY
documents.workflow.rule,A set of condition and actions which will be available to all attachments matching the conditions,Yes,No,No,No,READ-ONLY
extract.mixin,Base class to extract data from documents,Yes,No,No,No,READ-ONLY
favorite.questions,Favorite Questions,Yes,No,No,No,READ-ONLY
fetchmail.server,Incoming Mail Server,Yes,No,No,No,READ-ONLY
format.address.mixin,Address Format,Yes,No,No,No,READ-ONLY
gamification.badge,Gamification Badge,Yes,No,No,No,READ-ONLY
gamification.badge.user,Gamification User Badge,Yes,Yes,Yes,No,RWC
gamification.challenge,Gamification Challenge,Yes,No,No,No,READ-ONLY
gamification.challenge.line,Gamification generic goal for challenge,Yes,No,No,No,READ-ONLY
gamification.goal,Gamification Goal,Yes,Yes,No,No,RW
gamification.goal.definition,Gamification Goal Definition,Yes,No,No,No,READ-ONLY
gamification.karma.rank,Rank based on karma,Yes,No,No,No,READ-ONLY
gamification.karma.tracking,Track Karma Changes,Yes,No,No,No,READ-ONLY
google.calendar.credentials,Google Calendar Account Data,Yes,Yes,No,No,RW
google.calendar.sync,Synchronize a record with Google Calendar,Yes,No,No,No,READ-ONLY
google.map.view.mixins,Google Map View Mixins,Yes,No,No,No,READ-ONLY
google.service,Google Service,Yes,No,No,No,READ-ONLY
helpdesk.sla,Helpdesk SLA Policies,Yes,No,No,No,READ-ONLY
helpdesk.sla.report.analysis,SLA Status Analysis,Yes,No,No,No,READ-ONLY
helpdesk.sla.status,Ticket SLA Status,Yes,No,No,No,READ-ONLY
helpdesk.stage,Helpdesk Stage,Yes,No,No,No,READ-ONLY
helpdesk.tag,Helpdesk Tags,Yes,No,No,No,READ-ONLY
helpdesk.team,Helpdesk Team,Yes,No,No,No,READ-ONLY
helpdesk.ticket,Helpdesk Ticket,Yes,No,No,No,READ-ONLY
helpdesk.ticket.report.analysis,Ticket Analysis,Yes,No,No,No,READ-ONLY
helpdesk.ticket.type,Helpdesk Ticket Type,Yes,No,No,No,READ-ONLY
hr.applicant,Applicant,Yes,No,No,No,READ-ONLY
hr.applicant.category,Category of applicant,Yes,Yes,Yes,No,RWC
hr.applicant.refuse.reason,Refuse Reason of Applicant,Yes,No,No,No,READ-ONLY
hr.appraisal,Employee Appraisal,Yes,Yes,Yes,No,RWC
hr.appraisal.goal,Appraisal Goal,Yes,Yes,Yes,Yes,FULL (RWCD)
hr.appraisal.goal.tag,Appraisal Goal Tags,Yes,No,No,No,READ-ONLY
hr.appraisal.note,Appraisal Assessment Note,Yes,No,No,No,READ-ONLY
hr.appraisal.report,Appraisal Statistics,Yes,No,No,No,READ-ONLY
hr.attendance,Attendance,Yes,No,No,No,READ-ONLY
hr.attendance.overtime,Attendance Overtime,Yes,No,No,No,READ-ONLY
hr.contract.type,Contract Type,Yes,No,No,No,READ-ONLY
hr.department,Department,Yes,No,No,No,READ-ONLY
hr.departure.reason,Departure Reason,Yes,No,No,No,READ-ONLY
hr.employee,Employee,Yes,No,No,No,READ-ONLY
hr.employee.base,Basic Employee,Yes,No,No,No,READ-ONLY
hr.employee.category,Employee Category,Yes,No,No,No,READ-ONLY
hr.employee.public,Public Employee,Yes,No,No,No,READ-ONLY
hr.job,Job Position,Yes,No,No,No,READ-ONLY
hr.leave,Time Off,Yes,Yes,Yes,Yes,FULL (RWCD)
hr.leave.accrual.level,Accrual Plan Level,Yes,No,No,No,READ-ONLY
hr.leave.accrual.plan,Accrual Plan,Yes,No,No,No,READ-ONLY
hr.leave.allocation,Time Off Allocation,Yes,Yes,Yes,Yes,FULL (RWCD)
hr.leave.employee.type.report,Time Off Summary / Report,Yes,No,No,No,READ-ONLY
hr.leave.mandatory.day,Mandatory Day,Yes,No,No,No,READ-ONLY
hr.leave.report,Time Off Summary / Report,Yes,No,No,No,READ-ONLY
hr.leave.report.calendar,Time Off Calendar,Yes,No,No,No,READ-ONLY
hr.leave.type,Time Off Type,Yes,No,No,No,READ-ONLY
hr.licence,Employee license management,Yes,Yes,Yes,Yes,FULL (RWCD)
hr.recruitment.degree,Applicant Degree,Yes,No,No,No,READ-ONLY
hr.recruitment.report,Recruitment Analysis Report,Yes,No,No,No,READ-ONLY
hr.recruitment.source,Source of Applicants,Yes,No,No,No,READ-ONLY
hr.recruitment.stage,Recruitment Stages,Yes,No,No,No,READ-ONLY
hr.recruitment.stage.report,Recruitment Stage Analysis,Yes,No,No,No,READ-ONLY
hr.work.location,Work Location,Yes,No,No,No,READ-ONLY
html.field.history.mixin,Field html History,Yes,No,No,No,READ-ONLY
iap.account,IAP Account,Yes,No,Yes,No,READ-ONLY
iap.autocomplete.api,IAP Partner Autocomplete API,Yes,No,No,No,READ-ONLY
iap.enrich.api,IAP Lead Enrichment API,Yes,No,No,No,READ-ONLY
image.mixin,Image Mixin,Yes,No,No,No,READ-ONLY
ir.actions.act_url,Action URL,No,No,No,No,NO ACCESS
ir.actions.act_window,Action Window,No,No,No,No,NO ACCESS
ir.actions.act_window.view,Action Window View,No,No,No,No,NO ACCESS
ir.actions.act_window_close,Action Window Close,No,No,No,No,NO ACCESS
ir.actions.actions,Actions,No,No,No,No,NO ACCESS
ir.actions.client,Client Action,No,No,No,No,NO ACCESS
ir.actions.report,Report Action,Yes,No,No,No,READ-ONLY
ir.actions.server,Server Action,No,No,No,No,NO ACCESS
ir.actions.todo,Configuration Wizards,No,No,No,No,NO ACCESS
ir.asset,Asset,Yes,No,No,No,READ-ONLY
ir.attachment,Attachment,Yes,Yes,Yes,Yes,FULL (RWCD)
